DATE,precip,temp_max,temp_min,target,month_max,month_day_max,max_min,monthly_avg,weekly_avg,day_of_year_avg
26/05/1960,0,73,51,74,66.56666667,0.911872146,1.431372549,67.30769231,66.75,73
27/05/1960,0,74,55,65,67.03333333,0.905855856,1.345454545,67.55555556,68.2,74
28/05/1960,0,65,51,61,67.16666667,1.033333333,1.274509804,67.46428571,67.66666667,65
29/05/1960,0,61,53,76,67.06666667,1.099453552,1.150943396,67.24137931,66.71428571,61
30/05/1960,0,76,51,77,67.53333333,0.888596491,1.490196078,67.53333333,76,76
31/05/1960,0,77,52,90,67.9,0.881818182,1.480769231,67.83870968,76.5,77
01/06/1960,0,90,57,107,68.93333333,0.765925926,1.578947368,90,81,90
02/06/1960,0,107,60,84,70.53333333,0.659190031,1.783333333,98.5,87.5,107
03/06/1960,0,84,56,74,71.16666667,0.847222222,1.5,93.66666667,86.8,84
04/06/1960,0,74,56,74,71.36666667,0.964414414,1.321428571,88.75,84.66666667,74
05/06/1960,0,74,58,71,71.4,0.964864865,1.275862069,85.8,83.14285714,74
06/06/1960,0,71,59,67,71.4,1.005633803,1.203389831,83.33333333,71,71
07/06/1960,0,67,55,68,71.5,1.067164179,1.218181818,81,69,67
08/06/1960,0,68,55,71,71.33333333,1.049019608,1.236363636,79.375,68.66666667,68
09/06/1960,0,71,55,67,71.13333333,1.001877934,1.290909091,78.44444444,69.25,71
10/06/1960,0,67,55,76,71.03333333,1.060199005,1.218181818,77.3,68.8,67
11/06/1960,0,76,55,75,71.33333333,0.938596491,1.381818182,77.18181818,70,76
12/06/1960,0,75,55,86,71.53333333,0.953777778,1.363636364,77,70.71428571,75
13/06/1960,0,86,52,81,72.23333333,0.839922481,1.653846154,77.69230769,86,86
14/06/1960,0,81,54,83,72.83333333,0.899176955,1.5,77.92857143,83.5,81
15/06/1960,0,83,59,75,73.36666667,0.883935743,1.406779661,78.26666667,83.33333333,83
16/06/1960,0,75,60,71,73.6,0.981333333,1.25,78.0625,81.25,75
17/06/1960,0,71,55,67,73.6,1.036619718,1.290909091,77.64705882,79.2,71
18/06/1960,0,67,55,70,73.16666667,1.092039801,1.218181818,77.05555556,77.16666667,67
19/06/1960,0,70,54,88,73.36666667,1.048095238,1.296296296,76.68421053,76.14285714,70
20/06/1960,0,88,54,88,74.23333333,0.843560606,1.62962963,77.25,88,88
21/06/1960,0,88,56,79,75.1,0.853409091,1.571428571,77.76190476,88,88
22/06/1960,0,79,54,74,75.76666667,0.95907173,1.462962963,77.81818182,85,79
23/06/1960,0,74,55,71,76.1,1.028378378,1.345454545,77.65217391,82.25,74
24/06/1960,0,71,58,68,76.1,1.071830986,1.224137931,77.375,80,71
25/06/1960,0,68,55,67,75.93333333,1.116666667,1.236363636,77,78,68
26/06/1960,0,67,53,66,75.7,1.129850746,1.264150943,76.61538462,76.42857143,67
27/06/1960,0,66,54,60,75.73333333,1.147474747,1.222222222,76.22222222,66,66
28/06/1960,0,60,53,65,75.7,1.261666667,1.132075472,75.64285714,63,60
29/06/1960,0,65,53,62,75.33333333,1.158974359,1.226415094,75.27586207,63.66666667,65
30/06/1960,0,62,54,68,74.83333333,1.206989247,1.148148148,74.83333333,63.25,62
01/07/1960,0,68,54,72,74.1,1.089705882,1.259259259,68,64.2,68
02/07/1960,0,72,51,78,72.93333333,1.012962963,1.411764706,70,65.5,72
03/07/1960,0,78,55,69,72.73333333,0.932478632,1.418181818,72.66666667,67.28571429,78
04/07/1960,0,69,55,70,72.56666667,1.051690821,1.254545455,71.75,69,69
05/07/1960,0,70,56,68,72.43333333,1.034761905,1.25,71.4,69.5,70
06/07/1960,0,68,57,68,72.33333333,1.06372549,1.192982456,70.83333333,69,68
07/07/1960,0,68,57,69,72.36666667,1.064215686,1.192982456,70.42857143,68.75,68
08/07/1960,0,69,57,66,72.4,1.049275362,1.210526316,70.25,68.8,69
09/07/1960,0,66,55,64,72.23333333,1.094444444,1.2,69.77777778,68.33333333,66
10/07/1960,0,64,54,67,72.13333333,1.127083333,1.185185185,69.2,67.71428571,64
11/07/1960,0,67,55,67,71.83333333,1.072139303,1.218181818,69,67,67
12/07/1960,0,67,56,74,71.56666667,1.068159204,1.196428571,68.83333333,67,67
13/07/1960,0,74,57,68,71.16666667,0.961711712,1.298245614,69.23076923,69.33333333,74
14/07/1960,0,68,56,79,70.73333333,1.040196078,1.214285714,69.14285714,69,68
15/07/1960,0,79,55,77,70.6,0.893670886,1.436363636,69.8,71,79
16/07/1960,0,77,53,72,70.66666667,0.917748918,1.452830189,70.25,72,77
17/07/1960,0,72,55,81,70.7,0.981944444,1.309090909,70.35294118,72,72
18/07/1960,0,81,54,85,71.16666667,0.878600823,1.5,70.94444444,81,81
19/07/1960,0,85,55,92,71.66666667,0.843137255,1.545454545,71.68421053,83,85
20/07/1960,0,92,56,76,71.8,0.780434783,1.642857143,72.7,86,92
21/07/1960,0,76,57,79,71.4,0.939473684,1.333333333,72.85714286,83.5,76
22/07/1960,0,79,58,80,71.4,0.903797468,1.362068966,73.13636364,82.6,79
23/07/1960,0,80,56,83,71.6,0.895,1.428571429,73.43478261,82.16666667,80
24/07/1960,0,83,56,79,72,0.86746988,1.482142857,73.83333333,82.28571429,83
25/07/1960,0,79,56,73,72.36666667,0.916033755,1.410714286,74.04,79,79
26/07/1960,0,73,55,71,72.56666667,0.994063927,1.327272727,74,76,73
27/07/1960,0,71,56,63,72.73333333,1.024413146,1.267857143,73.88888889,74.33333333,71
28/07/1960,0,63,54,64,72.83333333,1.156084656,1.166666667,73.5,71.5,63
29/07/1960,0,64,55,66,72.8,1.1375,1.163636364,73.17241379,70,64
30/07/1960,0,66,56,63,72.93333333,1.105050505,1.178571429,72.93333333,69.33333333,66
31/07/1960,0,63,55,69,72.76666667,1.155026455,1.145454545,72.61290323,68.42857143,63
01/08/1960,0,69,55,66,72.66666667,1.053140097,1.254545455,69,69,69
02/08/1960,0,66,54,65,72.26666667,1.094949495,1.222222222,67.5,67.5,66
03/08/1960,0,65,55,74,72.13333333,1.10974359,1.181818182,66.66666667,66.66666667,65
04/08/1960,0,74,55,74,72.26666667,0.976576577,1.345454545,68.5,68.5,74
05/08/1960,0,74,53,77,72.46666667,0.979279279,1.396226415,69.6,69.6,74
06/08/1960,0,77,54,67,72.76666667,0.945021645,1.425925926,70.83333333,70.83333333,77
07/08/1960,0,67,53,66,72.7,1.085074627,1.264150943,70.28571429,70.28571429,67
08/08/1960,0,66,55,66,72.7,1.101515152,1.2,69.75,66,66
09/08/1960,0,66,54,69,72.76666667,1.102525253,1.222222222,69.33333333,66,66
10/08/1960,0,69,54,73,72.83333333,1.055555556,1.277777778,69.3,67,69
11/08/1960,0,73,53,72,73.03333333,1.000456621,1.377358491,69.63636364,68.5,73
12/08/1960,0,72,55,72,72.96666667,1.013425926,1.309090909,69.83333333,69.2,72
13/08/1960,0,72,55,72,73.1,1.015277778,1.309090909,70,69.66666667,72
14/08/1960,0,72,57,75,72.86666667,1.012037037,1.263157895,70.14285714,70,72
15/08/1960,0,75,54,85,72.8,0.970666667,1.388888889,70.46666667,75,75
16/08/1960,0,85,55,84,73.23333333,0.861568627,1.545454545,71.375,80,85
17/08/1960,0,84,56,78,73.33333333,0.873015873,1.5,72.11764706,81.33333333,84
18/08/1960,0,78,54,81,73.1,0.937179487,1.444444444,72.44444444,80.5,78
19/08/1960,0,81,53,70,72.73333333,0.897942387,1.528301887,72.89473684,80.6,81
20/08/1960,0,70,54,68,72.53333333,1.036190476,1.296296296,72.75,78.83333333,70
21/08/1960,0,68,54,72,72.16666667,1.06127451,1.259259259,72.52380952,77.28571429,68
22/08/1960,0,72,51,74,71.9,0.998611111,1.411764706,72.5,72,72
23/08/1960,0,74,53,70,71.6,0.967567568,1.396226415,72.56521739,73,74
24/08/1960,0,70,55,80,71.3,1.018571429,1.272727273,72.45833333,72,70
25/08/1960,0,80,53,70,71.53333333,0.894166667,1.509433962,72.76,74,80
26/08/1960,0,70,53,72,71.5,1.021428571,1.320754717,72.65384615,73.2,70
27/08/1960,0,72,56,73,71.8,0.997222222,1.285714286,72.62962963,73,72
28/08/1960,0,73,52,69,72.1,0.987671233,1.403846154,72.64285714,73,73
